Zaman,SuSeviyesi,Yangin,Pompa
2025-12-12 09:04:52,79.68,0,0
2025-12-12 09:05:52,79.35,0,0
2025-12-12 09:06:52,79.17,0,0
2025-12-12 09:07:52,79.08,0,0
2025-12-12 09:08:52,78.72,0,0
2025-12-12 09:09:52,78.48,0,0
2025-12-12 09:10:52,78.18,0,0
2025-12-12 09:11:52,78.15,0,0
2025-12-12 09:12:52,77.91,0,0
2025-12-12 09:13:52,77.54,0,0
2025-12-12 09:14:52,77.08,0,0
2025-12-12 09:15:52,76.93,0,0
2025-12-12 09:16:52,76.57,0,0
2025-12-12 09:17:52,76.66,0,0
2025-12-12 09:18:52,76.19,0,0
2025-12-12 09:19:52,76.22,0,0
2025-12-12 09:20:52,76.13,0,0
2025-12-12 09:21:52,76.16,0,0
2025-12-12 09:22:52,75.96,0,0
2025-12-12 09:23:52,75.75,0,0
2025-12-12 09:24:52,75.6,0,0
2025-12-12 09:25:52,75.11,0,0
2025-12-12 09:26:52,74.94,0,0
2025-12-12 09:27:52,74.7,0,0
2025-12-12 09:28:52,74.78,0,0
2025-12-12 09:29:52,74.36,0,0
2025-12-12 09:30:52,74.4,0,0
2025-12-12 09:31:52,74.36,0,0
2025-12-12 09:32:52,74.1,0,0
2025-12-12 09:33:52,73.77,0,0
2025-12-12 09:34:52,73.43,0,0
2025-12-12 09:35:52,73.15,0,0
2025-12-12 09:36:52,72.74,0,0
2025-12-12 09:37:52,72.66,0,0
2025-12-12 09:38:52,72.31,0,0
2025-12-12 09:39:52,71.87,0,0
2025-12-12 09:40:52,71.41,0,0
2025-12-12 09:41:52,71.06,0,0
2025-12-12 09:42:52,70.56,0,0
2025-12-12 09:43:52,70.21,0,0
2025-12-12 09:44:52,70.27,0,0
2025-12-12 09:45:52,69.98,0,0
2025-12-12 09:46:52,69.79,0,0
2025-12-12 09:47:52,69.77,0,0
2025-12-12 09:48:52,69.5,0,0
2025-12-12 09:49:52,69.34,0,0
2025-12-12 09:50:52,68.99,0,0
2025-12-12 09:51:52,68.91,0,0
2025-12-12 09:52:52,68.93,0,0
2025-12-12 09:53:52,68.61,0,0
2025-12-12 09:54:52,68.38,0,0
2025-12-12 09:55:52,68.36,0,0
2025-12-12 09:56:52,68.16,0,0
2025-12-12 09:57:52,67.73,0,0
2025-12-12 09:58:52,67.64,0,0
2025-12-12 09:59:52,67.44,0,0
2025-12-12 10:00:52,67.4,0,0
2025-12-12 10:01:52,67.4,0,0
2025-12-12 10:02:52,67.41,0,0
2025-12-12 10:03:52,67.05,0,0
2025-12-12 10:04:52,66.63,0,0
2025-12-12 10:05:52,66.48,0,0
2025-12-12 10:06:52,66.08,0,0
2025-12-12 10:07:52,65.84,0,0
2025-12-12 10:08:52,65.42,0,0
2025-12-12 10:09:52,65.03,0,0
2025-12-12 10:10:52,64.94,0,0
2025-12-12 10:11:52,64.45,0,0
2025-12-12 10:12:52,64.0,0,0
2025-12-12 10:13:52,63.66,0,0
2025-12-12 10:14:52,63.35,0,0
2025-12-12 10:15:52,63.4,0,0
2025-12-12 10:16:52,63.09,0,0
2025-12-12 10:17:52,62.76,0,0
2025-12-12 10:18:52,62.36,0,0
2025-12-12 10:19:52,62.05,0,0
2025-12-12 10:20:52,61.98,0,0
2025-12-12 10:21:52,61.93,0,0
2025-12-12 10:22:52,61.51,0,0
2025-12-12 10:23:52,61.58,0,0
2025-12-12 10:24:52,61.14,0,0
2025-12-12 10:25:52,60.92,0,0
2025-12-12 10:26:52,60.46,0,0
